lad_name,gt_id,gt_page_id,gt_globe,gt_primary,gt_lat,gt_lon,gt_dim,gt_type,gt_name,gt_country,gt_region,page_id,page_namespace,page_title,page_restrictions,page_is_redirect,page_is_new,page_random,page_touched,page_links_updated,page_latest,page_len,page_content_model,page_lang
Kensington and Chelsea,648693202,37277676,earth,1,51.485983,-0.180011,1000,landmark,NULL,NULL,NULL,37277676,0,Aubergine_(London_restaurant),NA,0,0,0.665038507168,20201216214838,20201210073628,989500278,13850,wikitext,NULL
Kensington and Chelsea,648699522,440602,earth,1,51.485,-0.1538,10000,river,NULL,GB,NULL,440602,0,River_Westbourne,NA,0,0,0.629884681958,20201225131034,20201225131710,996256635,11036,wikitext,NULL
Kensington and Chelsea,648699561,441189,earth,1,51.52377778,-0.2055,300,landmark,NULL,NULL,NULL,441189,0,Trellick_Tower,NA,0,0,0.8522151442489999,20201229142511,20201229142508,996990242,22986,wikitext,NULL
Kensington and Chelsea,648702309,26242608,earth,1,51.49777778,-0.17638889,1000,edu,NULL,GB,WSM,26242608,0,Imperial_College_Faculty_of_Medicine,NA,0,0,0.744517512342,20201228225437,20201228225558,995907536,16813,wikitext,NULL
Kensington and Chelsea,648704203,19831,earth,0,51.489057,-0.156195,1000,landmark,NULL,GB,NULL,19831,0,Margaret_Thatcher,NA,0,0,0.304636580221948,20210101100349,20210101103056,997601541,226435,wikitext,NULL
Kensington and Chelsea,648713808,2201910,earth,1,51.4953,-0.17682,100,edu,NULL,GB,NULL,2201910,0,Lycée_Français_Charles_de_Gaulle,NA,0,0,0.776706613322,20201229031123,20201229031752,996900314,31484,wikitext,NULL
Kensington and Chelsea,648722145,469303,earth,1,51.4901,-0.18073,1000,NULL,NULL,NULL,NULL,469303,0,National_Laboratory_of_Psychical_Research,NA,0,0,0.982124323483,20201216212258,20201214154329,894194346,15347,wikitext,NULL
Kensington and Chelsea,648733660,26878736,earth,1,51.5006,-0.19,1000,landmark,NULL,GB,KEC,26878736,0,Kensington_Square,NA,0,0,0.655777394648,20201216214206,20201214102454,957166325,6073,wikitext,NULL
Kensington and Chelsea,648772079,39229039,earth,1,51.507127,-0.190638,1000,NULL,NULL,NULL,NULL,39229039,0,13_Kensington_Palace_Gardens,NA,0,0,0.884377691843,20201216215012,20201208121836,988207090,12146,wikitext,NULL
Kensington and Chelsea,648884312,40607225,earth,1,51.4932,-0.1616,1000,landmark,NULL,GB,NULL,40607225,0,"St_Mary's,_Cadogan_Street",NA,0,0,0.327607897853,20201216215131,20201214064845,976981986,5813,wikitext,NULL
Kensington and Chelsea,648885303,14731273,earth,1,51.4931,-0.1575,1000,landmark,NULL,GB,NULL,14731273,0,"Holy_Trinity,_Sloane_Street",NA,0,0,0.313199902927,20201217012320,20201217013329,994691124,13021,wikitext,NULL
Kensington and Chelsea,648887908,41023215,earth,1,51.4933,-0.178,1000,landmark,NULL,GB,NULL,41023215,0,"St_Augustine's,_Queen's_Gate",NA,0,0,0.782918850476,20201229155113,20201229202453,994109804,7871,wikitext,NULL
